Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
unable to login to hr_tool to sgxqsuojr xwbesorf cards,unable to login to hr_tool to sgxqsuojr xwbesorf cards,oblekmrw qltgvspb,GRP_0,en,unable login hr tool sgxqsuojr xwbesorf card,44,7,5.428571428571429,7,unable login hr tool sgxqsuojr xwbesorf card
user wants to reset the password,user wants to reset the password,iftldbmu fujslwby,GRP_0,en,user want reset password,24,4,5.25,4,user want reset password
unable to open payslips ,unable to open payslips ,epwyvjsz najukwho,GRP_0,fr,unable open payslip,19,3,5.666666666666667,3,unable open payslip
ticket update on inplant_874743,ticket update on inplant_874743,fumkcsji sarmtlhy,GRP_0,en,ticket update,13,2,6.0,2,ticket update
unable to login to company vpn,"

received from: xyz@company.com

hi,

i am unable to login to company vpn website, trying to open a new session using the below link, but not able to get through pls help urgently as we are working from home tomorrow due to month end closing. ",chobktqj qdamxfuc,GRP_0,en,unable login company vpn xyz website trying open new session using link able get pls help urgently working home tomorrow due month end closing,142,24,4.958333333333333,24,unable login company vpn xyz website trying open new session using link able get pls help urgently working home tomorrow due month end closing
"when undocking pc , screen will not come back","when undocking pc , screen will not come back",sigfdwcj reofwzlm,GRP_3,en,undocking pc screen come back,29,5,5.0,5,undocking pc screen come back
erp SID_34 account locked,erp SID_34 account locked,nqdyowsm yqerwtna,GRP_0,en,erp account locked,18,3,5.333333333333333,3,erp account locked
unable to sign into vpn,unable to sign into vpn,ftsqkvre bqzrupic,GRP_0,it,unable sign vpn,15,3,4.333333333333333,3,unable sign vpn
unable to check payslips,unable to check payslips,mrzgjdal whnldmef,GRP_0,en,unable check payslip,20,3,6.0,3,unable check payslip
vpn issue,"

received from: ugephfta.hrbqkvij@gmail.com

hello helpdesk

i am not able to connect vpn from home office. couple f hours ago i was connected, now it is not working anymore. getting a message that my session expired but if i click on the link, nothing happens.

[cid:image001.jpg@01d233aa.3f618be0]

*********************

need help with your dynamics crm?
click here<

chat with a live agent regarding your dynamics crm questions now! click here<

best ",ugephfta hrbqkvij,GRP_0,en,vpn issue helpdeski able connect home office couple f hour ago connected working anymore getting message session expired click link notng happens need help dynamic crm chat li agent regarding question,200,31,5.483870967741935,31,vpn issue helpdeski able connect home office couple f hour ago connected working anymore getting message session expired click link notng happens need help dynamic crm chat li agent regarding question
unable to connect to vpn,unable to connect to vpn,pfmcnahv ofzlusri,GRP_0,es,unable connect vpn,18,3,5.333333333333333,3,unable connect vpn
user called for vendor phone number,user called for vendor phone number,fumkcsji sarmtlhy,GRP_0,da,user called vendor phone number,31,5,5.4,5,user called vendor phone number
vpn not working,"

received from: dceoufyz.saufqkmd@gmail.com

hello,

i'm not being able to connect to company network through the vpn. pls check.

cc: sir-i am not being able to upload as a result of no company network.

",dceoufyz saufqkmd,GRP_0,en,vpn working able connect company network pls check cc sir upload result,71,12,5.0,12,vpn working able connect company network pls check cc sir upload result
erp SID_37 password reset ,erp SID_37 password reset ,jqhtkfsm xoehtbnl,GRP_0,af,erp password reset,18,3,5.333333333333333,3,erp password reset
unable to login to hr_tool to check payslips,unable to login to hr_tool to check payslips,dtisfuyp fpvrjlkz,GRP_0,en,unable login hr tool check payslip,34,6,4.833333333333333,6,unable login hr tool check payslip
account locked out,account locked out,lduqxywt wcydjgvl,GRP_0,en,account locked,14,2,6.5,2,account locked
unable to login to hr_tool,unable to login to hr_tool,mwebfhdz csndrxgi,GRP_0,en,unable login hr tool,20,4,4.25,4,unable login hr tool
unable to log in to erp SID_34 ,unable to log in to erp SID_34 ,hvskpglx bpsfxmon,GRP_0,it,unable log erp,14,3,4.0,3,unable log erp
password reset for collaboration_platform,password reset for collaboration_platform,wrlzneit ayqutwgh,GRP_0,en,password reset collaboration platform,37,4,8.5,4,password reset collaboration platform
reset  users,"hi

please reset users password

client id: 794
username : xyz

",qcehailo wqynckxg,GRP_0,en,reset user passwordclient id username xyz,41,6,6.0,6,reset user passwordclient id username xyz
duplication of network address.,"

received from: kxsceyzo.naokumlb@gmail.com

gentles,

i have two devices that are trying to share an ip address. they are trying to share 96.26.27.9619. one is a printer with the hostname of prtjc0074, and the other is a new display for erp. the display is using dhcp to get its address assigned and the printer is hard coded.

my guess is that the address 96.26.27.9619 did not get set to a static address in dhcp. i need this corrected so the display will pick up another address.

",kxsceyzo naokumlb,GRP_4,en,duplication network address gentles two device trying share ip one printer hostname new display erp using dhcp get assigned hard coded guess set static need t corrected pick another,181,29,5.275862068965517,29,duplication network address gentles two device trying share ip one printer hostname new display erp using dhcp get assigned hard coded guess set static need t corrected pick another
ess password reset,ess password reset,fsqwkbez eudsantq,GRP_0,af,es password reset,17,3,5.0,3,es password reset
unable to install flash player,unable to install flash player,xzbhmfpg bhqxesym,GRP_0,en,unable install flash player,27,4,6.0,4,unable install flash player
ticket_no1564677-employment status - new non-employee ,"ticket_no1564677-employment status - new non-employee 
",eqzibjhw ymebpoih,GRP_0,en,employment status new non employee,34,5,6.0,5,employment status new non employee
erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,ztlvkmyi xldyitwz,GRP_0,en,erp account unlock password reset,33,5,5.8,5,erp account unlock password reset
unable to resolve ticket_no assigned to self,the status button is dierppearing after a few seconds.,shloyakw jztsxdln,GRP_0,en,unable resolve ticket assigned self status button dierppearing second,69,9,6.777777777777778,9,unable resolve ticket assigned self status button dierppearing second
installing engineering tool,need to install engineering tool on the pc,qcxivzag vyucbagx,GRP_0,en,installing engineering tool need install pc,43,6,6.333333333333333,6,installing engineering tool need install pc
call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0,en,call ecwtrjnq jpecxuty,22,3,6.666666666666667,3,call ecwtrjnq jpecxuty
ticket update - inplant_874615,ticket update - inplant_874615,olckhmvx pcqobjnd,GRP_0,sv,ticket update,13,2,6.0,2,ticket update
tablet 7350-sound not working,tablet 7350-sound not working,eqxakzyi cwfrjitq,GRP_0,en,tablet sound working,20,3,6.0,3,tablet sound working
unable to login to system,unable to login to system,zcaeryfo tdovhslb,GRP_0,en,unable login system,19,3,5.666666666666667,3,unable login system
please reroute jobs on printer01 to printer02 - issue needs to be resolved today,"

received from: yisohglr.uvteflgb@gmail.com

hi -

the printer01 printer is not working and needs a part replaced.  can you reroute the jobs in queue to printer printer02?   wihuyjdo qpogfwkb has indicated that prqos001 needs a new part and it may not deliver for a few days so the inwarehouse_tools will need to print on printer02 for now.  this needs to be taken care of today since the inwarehouse_tools are printed and are picked up by an outside vendor at 2:30 pm in usa on a daily basis.   please contact dkmcfreg anwmfvlgenkataramdntyana if you have questions about the jobs in queue for today.

",yisohglr uvteflgb,GRP_5,en,reroute job issue need resolved today printer working part replaced queue wihuyjdo qpogfwkb indicated new may deli haver day inwarehouse tool need print t taken care since printed picked outside vendor pm usa daily basis contact dkmcfreg anwmfvlgenkataramdntyana question,271,39,5.9743589743589745,38,reroute job issue need resolved today printer working part replaced queue wihuyjdo qpogfwkb indicated new may deli haver day inwarehouse tool need print t taken care since printed picked outside vendor pm usa daily basis contact dkmcfreg anwmfvlgenkataramdntyana question
unable to login to hr_tool etime,unable to login to hr_tool etime,wxdrynag hlktazfm,GRP_0,it,unable login hr tool etime,26,5,4.4,5,unable login hr tool etime
can not log into hr_tool etime through single sign on portal,can not log into hr_tool etime through single sign on portal,wpdxlbhz etvzjmhx,GRP_0,en,log hr tool etime single sign portal,36,7,4.285714285714286,7,log hr tool etime single sign portal
password changed in password_management_tool but didnt update for erp account,password changed in password_management_tool but didnt update for erp account,lduqxywt wcydjgvl,GRP_0,en,password changed management tool didnt update erp account,57,8,6.25,8,password changed management tool didnt update erp account
job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00  ,"received from: monitoring_tool@company.com

job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00",bpctwhsn kzqsbmtp,GRP_6,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
windows password change via password_management_tool,windows password change via password_management_tool,boyqfsca yoqrmnep,GRP_0,en,window password change via management tool,42,6,6.166666666666667,6,window password change via management tool
status does not change on telephony_software,"when closing a call, the agent keeps on the ""on acd call"" status.",aofnvyzt eqiyskhm,GRP_7,en,status change telephony software closing call agent keep acd,60,9,5.777777777777778,9,status change telephony software closing call agent keep acd
job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00  ,"received from: monitoring_tool@company.com

job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0,en,call ecwtrjnq jpecxuty,22,3,6.666666666666667,3,call ecwtrjnq jpecxuty
vip 2 - i need my password_management_tool password manager password reset.,"i need my password_management_tool password manager password reset.


 ",jwhmqnye xlpvdwre,GRP_0,af,vip need password management tool manager reset,47,7,5.857142857142857,7,vip need password management tool manager reset
reset scm_software password,"

received from: cdbaoqts.wqbsodni@gmail.com

hello,

please reset my scm_software password.


cdbaoqts wqbsodni
global product manager, markhtyeting initiatives
cdbaoqts.wqbsodni@gmail.com<mailto:cdbaoqts.wqbsodni@gmail.com>





",cdbaoqts wqbsodni,GRP_0,en,reset scm software password global product manager markhtyeting initiati have,77,10,6.8,10,reset scm software password global product manager markhtyeting initiati have
account locked out while in office,"account kept locking out
possible reasons

companysecure or mobile device email setup has an incorrect password stored.
windows and network passwords do not match.",kyzhcsrq fwyltvpd,GRP_0,en,account locked wle office kept locking outpossible reasonscompanysecure mobile device email setup incorrect password stored window network password match,153,19,7.105263157894737,18,account locked wle office kept locking outpossible reasonscompanysecure mobile device email setup incorrect password stored window network password match
skype meeting,"

received from: dlougnqw.jiuybxew@gmail.com

good morning,

i had to reset my password again and i've lost my option for setting up a skype meeting again.  can you please help me?  i can't recall how you were able to bring it back the last time.

",dlougnqw jiuybxew,GRP_0,en,skype meeting reset password lost option setting help recall able bring back last time,86,14,5.214285714285714,14,skype meeting reset password lost option setting help recall able bring back last time
enquiry on impact rewards,enquiry on impact rewards- how to get password reset,kpudhygb vnizrdeb,GRP_0,en,enquiry impact reward get password reset,40,6,5.833333333333333,6,enquiry impact reward get password reset
need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs  thanks,need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs  ,wckrxovs aunsgzmd,GRP_6,en,need dn material plant pc thanks,32,6,4.5,6,need dn material plant pc thanks
unlock logon password,"

received from: cnhkypxw.lafncksi@gmail.com

hello,
please help to unlock my company net log on password. urgent.
",cnhkypxw lafncksi,GRP_0,en,unlock logon password help company net log urgent,49,8,5.25,8,unlock logon password help company net log urgent
job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00  ,"received from: monitoring_tool@company.com

job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00  ,"received from: monitoring_tool@company.com

job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
password changed required for user- abc,password changed required for user- abc,qslrdpwk mdkivacj,GRP_0,en,password changed required user abc,34,5,6.0,5,password changed required user abc
issues with outlook,"

received from: lkfzibrx.ljnabpgx@gmail.com

[cid:image001.png@01d23357.fcbe58b0]

best ",lkfzibrx ljnabpgx,GRP_0,en,issue outlook,13,2,6.0,2,issue outlook
 urgent - create dlv,"please help , i try to create dlv for this mm's
7393673 sto 5019411580/00001
7393617 sto 5019329184/00002

sto from plant_289 to plant_101 ",qfnthlam lxvnwuja,GRP_6,en,urgent create dlv help try t mm sto,35,8,3.5,8,urgent create dlv help try t mm sto
apac company : two switches are down since 3.45 am et on 10/31.,"apac company : two switches are down since 3.45 am et on 10/31.

company-ap-chn-apac-company-2960-access-sw04 
company-ap-chn-apac-company-2960-access-sw03.",utyeofsk rdyzpwhi,GRP_8,en,apac company two switch since et ap chn access,46,9,4.222222222222222,9,apac company two switch since et ap chn access
error login on to the SID_34 system.,"error login on to the SID_34 system.
-verified user details.(employee# & manager name)
-user has tried the password_management_tool pwd manager.
-unlocked the erp id.
-caller confirmed that he was able to login.
-issue resolved.",quxtnlgd tqnjyzsm,GRP_0,en,error login system verified user detail employee manager name tried password management tool pwd unlocked erp id caller confirmed able issue resolved,149,22,5.818181818181818,22,error login system verified user detail employee manager name tried password management tool pwd unlocked erp id caller confirmed able issue resolved
delivery note can't do post goods issue,"d/n #9169754657&8058643570
plant:plant_304 to plant_310
the issue display:
ekpo-sobkz=e; ekpo-umsok=_; ekpo-kzbws<>_ ekpo-kzvbr<>e (note 305582) not supported (check your entry)
",lyzqrctk cfotnzrx,GRP_0,en,deli havery note post good issue n plant display ekpo sobkz e umsok kzbws kzvbre supported check entry,102,18,4.722222222222222,18,deli havery note post good issue n plant display ekpo sobkz e umsok kzbws kzvbre supported check entry
job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00  ,"received from: monitoring_tool@company.com

job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00  ,"received from: monitoring_tool@company.com

job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00  ,"received from: monitoring_tool@company.com

job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00  ,"received from: monitoring_tool@company.com

job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
user locked- user :xyz,"

received from: przndfbo.pldqbhtn@gmail.com

it team,

please kindly  release locked computer for user : xyz
user name : fbmugzrl ahyiuqev

",przndfbo pldqbhtn,GRP_0,en,user locked xyz team ly release computer xyzuser name fbmugzrl ahyiuqev,71,11,5.545454545454546,11,user locked xyz team ly release computer xyzuser name fbmugzrl ahyiuqev
dell 7350: my laptop speakers is not working again and requires your urgent help.,my laptop speakers is not working again and requires your urgent help.,jgautdmk fpurxzew,GRP_0,en,dell laptop speaker working requires urgent help,48,7,6.0,7,dell laptop speaker working requires urgent help
user needs help to connect to the wireless connection at home.,"user needs help to connect to the wireless connection at home.
-had the user connect to the lan at home.
-connected to the user system using teamviewer.
-checked the network settings.
-help the user login to the home wireless.
-disconnected the home lan.
-user confirmed that he is able to login to the home wireless.
-issue resolved.",imoelsap gxdwkimv,GRP_0,en,user need help connect wireless connection home lan connected system using teamviewer checked network setting login disconnected confirmed able issue resolved,158,21,6.571428571428571,21,user need help connect wireless connection home lan connected system using teamviewer checked network setting login disconnected confirmed able issue resolved
inc1564062: ticket update ,inc1564062: ticket update ,pwkrlqbc zslqfmka,GRP_0,en,ticket update,13,2,6.0,2,ticket update
job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
"power outage:UK al, 1st and 5th ave sites hard down since at 4:31 pm et on 10/30. ","what type of outage:  _____network     _____circuit     ___x__power (please specify what type of outage)

1. top 23 cert site   ?    ___yes______     (yes/no/na) 

2. when did it start  ?   ________4:31 pm et on 10/30. _____________

3.  scheduled maintenance ( power) ? __yno_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ____na_______   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    ____global_telecom_1#000000223670658 _____________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",mnlazfsr mtqrkhnx,GRP_8,en,power outage uk al ave site hard since pm et type network circuit x specify top cert site yes na start scheduled maintenance yno company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics,294,46,5.413043478260869,45,power outage uk al ave site hard since pm et type network circuit x specify top cert site yes na start scheduled maintenance yno company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics
"power outage : germany, mx: site is hard down since 10/30/2016 10:09 am et","what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   _______10/30/2016 10:09 am et______________

3.  scheduled maintenance ( power) ? _____no__    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____no___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ____no__    (yes/no/na) 

6. backup circuit active ?   ____no____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jyoqwxhz clhxsoqy,GRP_8,en,power outage germany mx site hard since et type x network circuit specify top cert yes na start scheduled maintenance company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics,283,42,5.761904761904762,42,power outage germany mx site hard since et type x network circuit specify top cert yes na start scheduled maintenance company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics
job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00  ,"received from: monitoring_tool@company.com

job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00",bpctwhsn kzqsbmtp,GRP_6,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
erp SID_34 account locked,erp SID_34 account locked,ilvortuq zfgrlewm,GRP_0,en,erp account locked,18,3,5.333333333333333,3,erp account locked
user yhmwxsqj ugnthxky having issues logging to outlook. ,"user yhmwxsqj ugnthxky having issues logging to outlook. 

rgtry will be available tomorrow around 9.00 am, he works out of company campus. request you to reach out to him & fix the issue.",rdfjsawg zpmxgdcw,GRP_0,en,user yhmwxsqj ugnthxky issue logging outlook rgtry available tomorrow around work company campus request reach fix issue,120,17,6.117647058823529,16,user yhmwxsqj ugnthxky issue logging outlook rgtry available tomorrow around work company campus request reach fix issue
job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00  ,"received from: monitoring_tool@company.com

job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00",bpctwhsn kzqsbmtp,GRP_9,en,job bwhrattr failed scheduler monitoringtooljob,47,5,8.6,5,job bwhrattr failed scheduler monitoringtooljob
engineering tool drawing originals in pdf format are not shown,"hello it service,
i need to monitor the manufacturing drawings to approve manufacturing.
the engineering tool stopped showing pdf originals:

process: 


[[erp] /production_order_interface_vendor/bas_cr 167 - rfc destination production_order_interface_vendor-views-010 not accessible (file cannot be stamped now; ).]
  08:06:34  
    bapireturnederrorexception
    [stack trace]
    cadagent.erp.conn.jco.tm.jcoerpmanager.handlereturnstructureorreturntableline(jcoerpmanager.java:379, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.erp.conn.jco.tm.jcoerpmanager.handlereturnstructure(jcoerpmanager.java:360, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.erp.conn.jco.tm.jcoerpmanager.generirtcfunction(jcoerpmanager.java:324, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.objmod.plmfile.checkoutview(plmfile.java:1109, @(#) $id: plmfile.java 182 2016-02-18 19:00:08z aju $)
    plm.omf.omforiginalsexport.checkoutbapi(omforiginalsexport.java:337, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    plm.omf.omforiginalsexport.downloaddocumentoriginals(omforiginalsexport.java:226, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    plm.omf.omforiginalsexport.actionperformed(omforiginalsexport.java:147, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    cadagent.gui.obr.obrfunctioneventqueue.run(obrfunctioneventqueue.java:209, @(#) $id: obrfunctioneventqueue.java 51962 2014-07-16 11:28:24z bda $)

      [api] bapi_document_checkoutview2





is this a known problem? when it will be fixed?

",vlymsnej whlqxcst,GRP_11,en,engineering tool drawing original pdf format shown service need monitor manufacturing drawing approve stopped showing process production order interface vendor ba cr rfc destination view accessible file cannot stamped bapireturnederrorexception cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline java id wt handlereturnstructure generirtcfunction objmod plmfile checkoutview aju plm omf omforiginalsexport checkoutbapi rb downloaddocumentoriginals actionperformed gui obr obrfunctioneventqueue run bda t known problem fixed,550,62,7.887096774193548,61,engineering tool drawing original pdf format shown service need monitor manufacturing drawing approve stopped showing process production order interface vendor ba cr rfc destination view accessible file cannot stamped bapireturnederrorexception cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline java id wt handlereturnstructure generirtcfunction objmod plmfile checkoutview aju plm omf omforiginalsexport checkoutbapi rb downloaddocumentoriginals actionperformed gui obr obrfunctioneventqueue run bda t known problem fixed
job apo_bop_plant_283a failed in job_scheduler at: 10/30/2016 01:25:00  ,"received from: monitoring_tool@company.com

job apo_bop_plant_283a failed in job_scheduler at: 10/30/2016 01:25:00",bpctwhsn kzqsbmtp,GRP_6,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_1315 failed in job_scheduler at: 10/30/2016 00:48:00  ,"received from: monitoring_tool@company.com

job Job_1315 failed in job_scheduler at: 10/30/2016 00:48:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/30/2016 00:11:00  ,"received from: monitoring_tool@company.com

job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/30/2016 00:11:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
unable to open ie ,unable to open ie ,tmopbken ibzougsd,GRP_0,es,unable open ie,14,3,4.0,3,unable open ie
job Job_3050 failed in job_scheduler at: 10/29/2016 23:02:00  ,"received from: monitoring_tool@company.com

job Job_3050 failed in job_scheduler at: 10/29/2016 23:02:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_30cold failed in job_scheduler at: 10/29/2016 18:58:00  ,"received from: monitoring_tool@company.com

job SID_30cold failed in job_scheduler at: 10/29/2016 18:58:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
